ID_CLUB;HORA;DIA;COSTO;TIEMPO
BOG03;13:00 - 14:00;L-V;80000;HORA
BOG03;14:00 - 15:00;L-V;80000;HORA
BOG03;15:00 - 16:00;L-V;80000;HORA
BOG03;16:00 - 17:00;L-V;80000;HORA
BOG03;17:00 - 18:00;L-V;100000;HORA
BOG03;18:00 - 19:00;L-V;100000;HORA
BOG03;19:00 - 20:00;L-V;100000;HORA
BOG03;20:00 - 21:00;L-V;100000;HORA
BOG03;06:00 - 07:00;S-F;100000;HORA
BOG03;07:00 - 08:00;S-F;100000;HORA
BOG03;08:00 - 09:00;S-F;100000;HORA
BOG03;09:00 - 10:00;S-F;100000;HORA
BOG03;10:00 - 11:00;S-F;100000;HORA
BOG03;11:00 - 12:00;S-F;100000;HORA
BOG03;12:00 - 13:00;S-F;100000;HORA
BOG03;13:00 - 14:00;S-F;100000;HORA
BOG03;14:00 - 15:00;S-F;100000;HORA
BOG03;15:00 - 16:00;S-F;100000;HORA
BOG03;16:00 - 17:00;S-F;100000;HORA
BOG03;17:00 - 18:00;S-F;100000;HORA
BOG03;18:00 - 19:00;S-F;100000;HORA
BOG03;19:00 - 20:00;S-F;100000;HORA
BOG03;20:00 - 21:00;S-F;100000;HORA
BOG03;21:00 - 22:00;S-F;100000;HORA
BOG03;22:00 - 23:00;S-F;100000;HORA
BOG04;06:00 - 07:00;L-V;80000;HORA
BOG04;07:00 - 08:00;L-V;80000;HORA
BOG04;08:00 - 09:00;L-V;80000;HORA
BOG04;09:00 - 10:00;L-V;80000;HORA
BOG04;10:00 - 11:00;L-V;80000;HORA
BOG04;11:00 - 12:00;L-V;80000;HORA
BOG04;15:00 - 16:00;L-V;60000;HORA
BOG04;16:00 - 17:00;L-V;60000;HORA
BOG04;17:00 - 18:00;L-V;80000;HORA
BOG04;12:00 - 13:00;S-F;100000;HORA
BOG04;13:00 - 14:00;S-F;100000;HORA
BOG04;14:00 - 15:00;S-F;100000;HORA
BOG04;15:00 - 16:00;S-F;100000;HORA
BOG04;16:00 - 17:00;S-F;100000;HORA
BOG04;17:00 - 18:00;S-F;100000;HORA
BOG04;18:00 - 19:00;S-F;100000;HORA
BOG04;19:00 - 20:00;S-F;100000;HORA
BOG04;20:00 - 21:00;S-F;100000;HORA
BOG04;21:00 - 22:00;S-F;100000;HORA
BOG04;22:00 - 23:00;S-F;100000;HORA
BOG05;07:00 - 08:00;L-V;60000;HORA
BOG05;08:00 - 09:00;L-V;60000;HORA
BOG05;09:00 - 10:00;L-V;60000;HORA
BOG05;10:00 - 11:00;L-V;60000;HORA
BOG05;11:00 - 12:00;L-V;60000;HORA
BOG05;12:00 - 13:00;L-V;60000;HORA
BOG05;13:00 - 14:00;L-V;60000;HORA
BOG05;14:00 - 15:00;L-V;60000;HORA
BOG05;15:00 - 16:00;L-V;60000;HORA
BOG05;16:00 - 17:00;L-V;60000;HORA
BOG05;17:00 - 18:00;L-V;60000;HORA
BOG05;13:00 - 14:00;S-F;80000;HORA
BOG05;14:00 - 15:00;S-F;80000;HORA
BOG05;15:00 - 16:00;S-F;80000;HORA
BOG05;16:00 - 17:00;S-F;80000;HORA
BOG05;17:00 - 18:00;S-F;80000;HORA
BOG05;18:00 - 19:00;S-F;80000;HORA
BOG05;19:00 - 20:00;S-F;80000;HORA
BOG05;20:00 - 21:00;S-F;80000;HORA
BOG05;21:00 - 22:00;S-F;80000;HORA
BOG05;22:00 - 23:00;S-F;80000;HORA
BOG06;06:00 - 07:00;L-V;90000;HORA
BOG06;07:00 - 08:00;L-V;120000;HORA
BOG06;08:00 - 09:00;L-V;90000;HORA
BOG06;09:00 - 10:00;L-V;90000;HORA
BOG06;10:00 - 11:00;L-V;90000;HORA
BOG06;11:00 - 12:00;L-V;90000;HORA
BOG06;12:00 - 13:00;L-V;110000;HORA
BOG06;13:00 - 14:00;L-V;110000;HORA
BOG06;14:00 - 15:00;L-V;110000;HORA
BOG06;15:00 - 16:00;L-V;110000;HORA
BOG06;16:00 - 17:00;L-V;110000;HORA
BOG06;17:00 - 18:00;L-V;110000;HORA
BOG06;12:00 - 13:00;S-F;110000;HORA
BOG06;13:00 - 14:00;S-F;110000;HORA
BOG06;14:00 - 15:00;S-F;110000;HORA
BOG06;15:00 - 16:00;S-F;110000;HORA
BOG06;16:00 - 17:00;S-F;110000;HORA
BOG06;17:00 - 18:00;S-F;110000;HORA
BOG06;18:00 - 19:00;S-F;110000;HORA
BOG06;19:00 - 20:00;S-F;110000;HORA
BOG06;20:00 - 21:00;S-F;110000;HORA
BOG06;21:00 - 22:00;S-F;110000;HORA
BOG06;22:00 - 23:00;S-F;110000;HORA
BOG06;23:00 - 00:00;S-F;110000;HORA
BOG07;06:00 - 07:00;L-V;90000;HORA
BOG07;07:00 - 08:00;L-V;90000;HORA
BOG07;08:00 - 09:00;L-V;60000;HORA
BOG07;09:00 - 10:00;L-V;60000;HORA
BOG07;10:00 - 11:00;L-V;60000;HORA
BOG07;11:00 - 12:00;L-V;60000;HORA
BOG07;15:00 - 16:00;L-V;60000;HORA
BOG07;12:00 - 13:00;S-F;90000;HORA
BOG07;13:00 - 14:00;S-F;90000;HORA
BOG07;16:00 - 17:00;S-F;90000;HORA
BOG07;17:00 - 18:00;S-F;90000;HORA
BOG07;18:00 - 19:00;S-F;90000;HORA
BOG07;19:00 - 20:00;S-F;90000;HORA
BOG07;20:00 - 21:00;S-F;90000;HORA
BOG07;21:00 - 22:00;S-F;90000;HORA
BOG07;22:00 - 23:00;S-F;90000;HORA
BOG08;05:00 - 06:00;L-V;60000;HORA
BOG08;06:00 - 07:00;L-V;60000;HORA
BOG08;07:00 - 08:00;L-V;60000;HORA
BOG08;08:00 - 09:00;L-V;60000;HORA
BOG08;09:00 - 10:00;L-V;60000;HORA
BOG08;10:00 - 11:00;L-V;60000;HORA
BOG08;11:00 - 12:00;L-V;60000;HORA
BOG08;12:00 - 13:00;S-F;80000;HORA
BOG08;13:00 - 14:00;S-F;80000;HORA
BOG08;14:00 - 15:00;S-F;80000;HORA
BOG08;15:00 - 16:00;S-F;80000;HORA
BOG08;16:00 - 17:00;S-F;80000;HORA
BOG08;17:00 - 18:00;S-F;80000;HORA
BOG08;18:00 - 19:00;S-F;80000;HORA
BOG08;19:00 - 20:00;S-F;80000;HORA
BOG08;20:00 - 21:00;S-F;80000;HORA
BOG08;21:00 - 22:00;S-F;80000;HORA
BOG09;06:00 - 07:00;L-V;60000;HORA
BOG09;07:00 - 08:00;L-V;80000;HORA
BOG09;08:00 - 09:00;L-V;80000;HORA
BOG09;09:00 - 10:00;L-V;60000;HORA
BOG09;10:00 - 11:00;L-V;60000;HORA
BOG09;11:00 - 12:00;L-V;60000;HORA
BOG09;12:00 - 13:00;L-V;60000;HORA
BOG09;13:00 - 14:00;L-V;60000;HORA
BOG09;14:00 - 15:00;L-V;60000;HORA
BOG09;15:00 - 16:00;L-V;60000;HORA
BOG09;16:00 - 17:00;L-V;60000;HORA
BOG09;17:00 - 18:00;L-V;60000;HORA
BOG09;06:00 - 07:00;S-F;80000;HORA
BOG09;07:00 - 08:00;S-F;120000;HORA
BOG09;08:00 - 09:00;S-F;120000;HORA
BOG09;09:00 - 10:00;S-F;120000;HORA
BOG09;10:00 - 11:00;S-F;120000;HORA
BOG09;11:00 - 12:00;S-F;120000;HORA
BOG09;12:00 - 13:00;S-F;120000;HORA
BOG09;13:00 - 14:00;S-F;80000;HORA
BOG09;14:00 - 15:00;S-F;80000;HORA
BOG09;15:00 - 16:00;S-F;80000;HORA
BOG09;16:00 - 17:00;S-F;80000;HORA
BOG09;17:00 - 18:00;S-F;80000;HORA
BOG09;18:00 - 19:00;S-F;80000;HORA
BOG09;19:00 - 20:00;S-F;80000;HORA
BOG09;20:00 - 21:00;S-F;80000;HORA
BOG09;21:00 - 22:00;S-F;80000;HORA
BOG09;22:00 - 23:00;S-F;80000;HORA
BOG10;07:00 - 08:00;L-V;100000;HORA
BOG10;08:00 - 09:00;L-V;80000;HORA
BOG10;09:00 - 10:00;L-V;80000;HORA
BOG10;10:00 - 11:00;L-V;80000;HORA
BOG10;11:00 - 12:00;L-V;80000;HORA
BOG10;12:00 - 13:00;L-V;80000;HORA
BOG10;13:00 - 14:00;L-V;80000;HORA
BOG10;14:00 - 15:00;L-V;80000;HORA
BOG10;13:00 - 14:00;S-F;100000;HORA
BOG10;14:00 - 15:00;S-F;100000;HORA
BOG10;15:00 - 16:00;S-F;100000;HORA
BOG10;16:00 - 17:00;S-F;100000;HORA
BOG10;17:00 - 18:00;S-F;100000;HORA
BOG10;18:00 - 19:00;S-F;100000;HORA
BOG10;19:00 - 20:00;S-F;100000;HORA
BOG10;20:00 - 21:00;S-F;100000;HORA
BOG10;21:00 - 22:00;S-F;100000;HORA
BOG11;06:00 - 07:00;L-V;80000;HORA
BOG11;07:00 - 08:00;L-V;80000;HORA
BOG11;08:00 - 09:00;L-V;60000;HORA
BOG11;09:00 - 10:00;L-V;60000;HORA
BOG11;10:00 - 11:00;L-V;60000;HORA
BOG11;11:00 - 12:00;L-V;60000;HORA
BOG11;15:00 - 16:00;L-V;50000;HORA
BOG11;16:00 - 17:00;L-V;50000;HORA
BOG11;17:00 - 18:00;L-V;100000;HORA
BOG11;22:30 - 23:30;L-V;80000;HORA
BOG11;06:00 - 07:00;S-F;80000;HORA
BOG11;07:00 - 08:00;S-F;90000;HORA
BOG11;08:00 - 09:00;S-F;90000;HORA
BOG11;09:00 - 10:00;S-F;100000;HORA
BOG11;10:00 - 11:00;S-F;100000;HORA
BOG11;11:00 - 12:00;S-F;100000;HORA
BOG11;12:00 - 13:00;S-F;80000;HORA
BOG11;13:00 - 14:00;S-F;80000;HORA
BOG11;14:00 - 15:00;S-F;80000;HORA
BOG11;15:00 - 16:00;S-F;80000;HORA
BOG11;16:00 - 17:00;S-F;80000;HORA
BOG11;17:00 - 18:00;S-F;80000;HORA
BOG11;18:00 - 19:00;S-F;80000;HORA
BOG11;19:00 - 20:00;S-F;80000;HORA
BOG11;20:00 - 21:00;S-F;80000;HORA
BOG11;21:00 - 22:00;S-F;60000;HORA
BOG11;22:00 - 23:00;S-F;60000;HORA
BOG12;06:00 - 07:00;L-V;80000;HORA
BOG12;07:00 - 08:00;L-V;80000;HORA
BOG12;08:00 - 09:00;L-V;60000;HORA
BOG12;09:00 - 10:00;L-V;60000;HORA
BOG12;10:00 - 11:00;L-V;60000;HORA
BOG12;11:00 - 12:00;L-V;60000;HORA
BOG12;15:00 - 16:00;L-V;60000;HORA
BOG12;22:00 - 23:00;L-V;60000;HORA
BOG12;12:00 - 13:00;S-F;80000;HORA
BOG12;13:00 - 14:00;S-F;80000;HORA
BOG12;14:00 - 15:00;S-F;80000;HORA
BOG12;15:00 - 16:00;S-F;80000;HORA
BOG12;16:00 - 17:00;S-F;80000;HORA
BOG12;17:00 - 18:00;S-F;80000;HORA
BOG12;18:00 - 19:00;S-F;80000;HORA
BOG12;19:00 - 20:00;S-F;80000;HORA
BOG12;20:00 - 21:00;S-F;80000;HORA
BOG12;21:00 - 22:00;S-F;80000;HORA
BOG12;22:00 - 23:00;S-F;80000;HORA
BOG13;06:00 - 07:00;L-V;30000;HORA
BOG13;07:00 - 08:00;L-V;30000;HORA
BOG13;08:00 - 09:00;L-V;30000;HORA
BOG13;09:00 - 10:00;L-V;30000;HORA
BOG13;10:00 - 11:00;L-V;30000;HORA
BOG13;11:00 - 12:00;L-V;30000;HORA
BOG13;12:00 - 13:00;L-V;30000;HORA
BOG13;13:00 - 14:00;L-V;30000;HORA
BOG13;14:00 - 15:00;L-V;30000;HORA
BOG13;15:00 - 16:00;L-V;30000;HORA
BOG13;12:00 - 13:00;S-F;60000;HORA
BOG13;15:00 - 16:00;S-F;30000;HORA
BOG14;06:00 - 07:00;L-V;90000;HORA
BOG14;07:00 - 08:00;L-V;90000;HORA
BOG14;08:00 - 09:00;L-V;90000;HORA
BOG14;09:00 - 10:00;L-V;90000;HORA
BOG14;10:00 - 11:00;L-V;90000;HORA
BOG14;11:00 - 12:00;L-V;90000;HORA
BOG14;12:00 - 13:00;L-V;110000;HORA
BOG14;13:00 - 14:00;L-V;110000;HORA
BOG14;14:00 - 15:00;L-V;110000;HORA
BOG14;15:00 - 16:00;L-V;110000;HORA
BOG14;16:00 - 17:00;L-V;110000;HORA
BOG14;17:00 - 18:00;L-V;110000;HORA
BOG14;12:00 - 13:00;S-F;110000;HORA
BOG14;13:00 - 14:00;S-F;110000;HORA
BOG14;14:00 - 15:00;S-F;110000;HORA
BOG14;15:00 - 16:00;S-F;110000;HORA
BOG14;16:00 - 17:00;S-F;110000;HORA
BOG14;17:00 - 18:00;S-F;110000;HORA
BOG14;18:00 - 19:00;S-F;110000;HORA
BOG14;19:00 - 20:00;S-F;110000;HORA
BOG14;20:00 - 21:00;S-F;110000;HORA
BOG15;09:00 - 10:00;L-V;100000;HORA
BOG15;10:00 - 11:00;L-V;100000;HORA
BOG15;11:00 - 12:00;L-V;100000;HORA
BOG15;15:00 - 16:00;L-V;100000;HORA
BOG15;16:00 - 17:00;L-V;100000;HORA
BOG15;17:00 - 18:00;L-V;100000;HORA
BOG16;06:00 - 07:00;L-V;80000;HORA
BOG16;07:00 - 08:00;L-V;80000;HORA
BOG16;08:00 - 09:00;L-V;80000;HORA
BOG16;09:00 - 10:00;L-V;80000;HORA
BOG16;10:00 - 11:00;L-V;80000;HORA
BOG16;11:00 - 12:00;L-V;80000;HORA
BOG16;12:00 - 13:00;L-V;80000;HORA
BOG16;13:00 - 14:00;L-V;80000;HORA
BOG16;14:00 - 15:00;L-V;80000;HORA
BOG16;15:00 - 16:00;L-V;80000;HORA
BOG16;16:00 - 17:00;L-V;80000;HORA
BOG16;17:00 - 18:00;L-V;80000;HORA
BOG16;18:00 - 19:00;L-V;120000;HORA
BOG16;22:00 - 23:00;L-V;80000;HORA
BOG16;06:00 - 07:00;S-F;80000;HORA
BOG16;13:00 - 14:00;S-F;80000;HORA
BOG16;14:00 - 15:00;S-F;80000;HORA
BOG16;15:00 - 16:00;S-F;80000;HORA
BOG16;16:00 - 17:00;S-F;80000;HORA
BOG16;17:00 - 18:00;S-F;80000;HORA
BOG16;18:00 - 19:00;S-F;80000;HORA
BOG16;19:00 - 20:00;S-F;80000;HORA
BOG16;20:00 - 21:00;S-F;80000;HORA
BOG16;21:00 - 22:00;S-F;80000;HORA
BOG16;22:00 - 23:00;S-F;80000;HORA
BOG17;06:00 - 07:00;L-V;80000;HORA
BOG17;07:00 - 08:00;L-V;80000;HORA
BOG17;08:00 - 09:00;L-V;60000;HORA
BOG17;09:00 - 10:00;L-V;60000;HORA
BOG17;10:00 - 11:00;L-V;60000;HORA
BOG17;11:00 - 12:00;L-V;60000;HORA
BOG17;12:00 - 13:00;L-V;60000;HORA
BOG17;13:00 - 14:00;L-V;60000;HORA
BOG17;14:00 - 15:00;L-V;60000;HORA
BOG17;15:00 - 16:00;L-V;60000;HORA
BOG17;16:00 - 17:00;L-V;60000;HORA
BOG17;17:00 - 18:00;L-V;60000;HORA
BOG17;12:00 - 13:00;S-F;80000;HORA
BOG17;13:00 - 14:00;S-F;80000;HORA
BOG17;14:00 - 15:00;S-F;80000;HORA
BOG17;15:00 - 16:00;S-F;80000;HORA
BOG17;16:00 - 17:00;S-F;80000;HORA
BOG17;17:00 - 18:00;S-F;80000;HORA
BOG17;18:00 - 19:00;S-F;80000;HORA
BOG17;19:00 - 20:00;S-F;80000;HORA
BOG17;20:00 - 21:00;S-F;80000;HORA
BOG17;21:00 - 22:00;S-F;80000;HORA
BOG17;22:00 - 23:00;S-F;80000;HORA
BOG20;06:00 - 07:00;L-V;80000;HORA
BOG20;07:00 - 08:00;L-V;80000;HORA
BOG20;08:00 - 09:00;L-V;60000;HORA
BOG20;09:00 - 10:00;L-V;60000;HORA
BOG20;10:00 - 11:00;L-V;60000;HORA
BOG20;11:00 - 12:00;L-V;60000;HORA
BOG20;12:00 - 13:00;L-V;60000;HORA
BOG20;13:00 - 14:00;L-V;60000;HORA
BOG20;14:00 - 15:00;L-V;60000;HORA
BOG20;15:00 - 16:00;L-V;60000;HORA
BOG20;16:00 - 17:00;L-V;70000;HORA
BOG20;17:00 - 18:00;L-V;100000;HORA
BOG20;18:00 - 19:00;L-V;100000;HORA
BOG20;19:00 - 20:00;L-V;100000;HORA
BOG20;06:00 - 07:00;S-F;80000;HORA
BOG20;07:00 - 08:00;S-F;80000;HORA
BOG20;08:00 - 09:00;S-F;100000;HORA
BOG20;09:00 - 10:00;S-F;100000;HORA
BOG20;10:00 - 11:00;S-F;100000;HORA
BOG20;11:00 - 12:00;S-F;100000;HORA
BOG20;12:00 - 13:00;S-F;90000;HORA
BOG20;13:00 - 14:00;S-F;90000;HORA
BOG20;14:00 - 15:00;S-F;90000;HORA
BOG20;15:00 - 16:00;S-F;90000;HORA
BOG20;16:00 - 17:00;S-F;90000;HORA
BOG20;17:00 - 18:00;S-F;90000;HORA
BOG20;18:00 - 19:00;S-F;90000;HORA
BOG20;19:00 - 20:00;S-F;90000;HORA
BOG20;20:00 - 21:00;S-F;90000;HORA
BOG20;21:00 - 22:00;S-F;90000;HORA
BOG20;22:00 - 23:00;S-F;90000;HORA
BOG21;06:00 - 07:00;L-V;100000;HORA
BOG21;07:00 - 08:00;L-V;100000;HORA
BOG21;08:00 - 09:00;L-V;100000;HORA
BOG21;09:00 - 10:00;L-V;100000;HORA
BOG21;10:00 - 11:00;L-V;100000;HORA
BOG21;11:00 - 12:00;L-V;100000;HORA
BOG21;12:00 - 13:00;L-V;100000;HORA
BOG21;13:00 - 14:00;L-V;100000;HORA
BOG21;14:00 - 15:00;L-V;100000;HORA
BOG21;15:00 - 16:00;L-V;100000;HORA
BOG21;16:00 - 17:00;L-V;100000;HORA
BOG22;05:00 - 06:00;L-V;110000;HORA
BOG22;06:00 - 07:00;L-V;110000;HORA
BOG22;07:00 - 08:00;L-V;110000;HORA
BOG22;08:00 - 09:00;L-V;90000;HORA
BOG22;09:00 - 10:00;L-V;90000;HORA
BOG22;10:00 - 11:00;L-V;90000;HORA
BOG22;11:00 - 12:00;L-V;90000;HORA
BOG22;12:00 - 13:00;L-V;110000;HORA
BOG22;13:00 - 14:00;L-V;110000;HORA
BOG22;14:00 - 15:00;L-V;110000;HORA
BOG22;12:00 - 13:00;S-F;110000;HORA
BOG22;13:00 - 14:00;S-F;110000;HORA
BOG22;14:00 - 15:00;S-F;110000;HORA
BOG22;15:00 - 16:00;S-F;110000;HORA
BOG22;16:00 - 17:00;S-F;110000;HORA
BOG22;17:00 - 18:00;S-F;110000;HORA
BOG22;18:00 - 19:00;S-F;110000;HORA
BOG22;19:00 - 20:00;S-F;110000;HORA
BOG22;20:00 - 21:00;S-F;110000;HORA
BOG22;21:00 - 22:00;S-F;110000;HORA
BOG23;12:00 - 13:00;L-V;120000;HORA
BOG23;13:00 - 14:00;L-V;120000;HORA
BOG23;14:00 - 15:00;L-V;120000;HORA
BOG23;15:00 - 16:00;L-V;120000;HORA
BOG23;12:00 - 13:00;S-F;120000;HORA
BOG23;13:00 - 14:00;S-F;120000;HORA
BOG23;14:00 - 15:00;S-F;120000;HORA
BOG23;15:00 - 16:00;S-F;120000;HORA
BOG01;12:00 - 13:30;L-V;100000;HORA Y MEDIA
BOG01;13:30 - 15:00;L-V;100000;HORA Y MEDIA
BOG01;15:00 - 16:30;L-V;100000;HORA Y MEDIA
BOG01;16:30 - 18:00;L-V;100000;HORA Y MEDIA
BOG01;18:00 - 19:30;L-V;200000;HORA Y MEDIA
BOG01;19:30 - 21:00;L-V;200000;HORA Y MEDIA
BOG01;21:00 - 22:30;L-V;200000;HORA Y MEDIA
BOG01;22:30 - 00:00;L-V;100000;HORA Y MEDIA
BOG01;06:00 - 07:30;S-F;100000;HORA Y MEDIA
BOG01;07:30 - 09:00;S-F;200000;HORA Y MEDIA
BOG01;09:00 - 10:30;S-F;200000;HORA Y MEDIA
BOG01;10:30 - 12:00;S-F;200000;HORA Y MEDIA
BOG02;06:00 - 07:30;L-V;80000;HORA Y MEDIA
BOG02;07:30 - 09:00;L-V;80000;HORA Y MEDIA
BOG02;16:00 - 17:30;L-V;80000;HORA Y MEDIA
BOG02;17:30 - 19:00;L-V;160000;HORA Y MEDIA
BOG02;19:00 - 20:30;L-V;160000;HORA Y MEDIA
BOG02;20:30 - 22:00;L-V;160000;HORA Y MEDIA
BOG02;22:00 - 23:30;L-V;100000;HORA Y MEDIA
BOG02;06:00 - 07:30;S-F;100000;HORA Y MEDIA
BOG02;07:30 - 09:00;S-F;150000;HORA Y MEDIA
BOG02;09:00 - 10:30;S-F;150000;HORA Y MEDIA
BOG02;10:30 - 12:00;S-F;150000;HORA Y MEDIA
BOG02;22:00 - 23:30;S-F;80000;HORA Y MEDIA
BOG03;06:00 - 07:30;L-V;130000;HORA Y MEDIA
BOG03;07:30 - 09:00;L-V;100000;HORA Y MEDIA
BOG03;09:00 - 10:30;L-V;100000;HORA Y MEDIA
BOG03;10:30 - 12:00;L-V;100000;HORA Y MEDIA
BOG03;12:00 - 13:30;L-V;100000;HORA Y MEDIA
BOG03;13:30 - 15:00;L-V;100000;HORA Y MEDIA
BOG03;15:00 - 16:30;L-V;100000;HORA Y MEDIA
BOG03;16:30 - 18:00;L-V;130000;HORA Y MEDIA
BOG03;18:00 - 19:30;L-V;190000;HORA Y MEDIA
BOG03;19:30 - 21:00;L-V;190000;HORA Y MEDIA
BOG03;21:00 - 22:30;L-V;190000;HORA Y MEDIA
BOG03;22:30 - 00:00;L-V;100000;HORA Y MEDIA
BOG03;06:00 - 07:30;S-F;100000;HORA Y MEDIA
BOG03;07:30 - 09:00;S-F;190000;HORA Y MEDIA
BOG03;09:00 - 10:30;S-F;190000;HORA Y MEDIA
BOG03;10:30 - 12:00;S-F;190000;HORA Y MEDIA
BOG03;12:00 - 13:30;S-F;190000;HORA Y MEDIA
BOG03;13:30 - 15:00;S-F;130000;HORA Y MEDIA
BOG03;15:00 - 16:30;S-F;130000;HORA Y MEDIA
BOG03;16:30 - 18:00;S-F;130000;HORA Y MEDIA
BOG03;18:00 - 19:30;S-F;130000;HORA Y MEDIA
BOG03;19:30 - 21:00;S-F;130000;HORA Y MEDIA
BOG03;21:00 - 22:30;S-F;130000;HORA Y MEDIA
BOG03;22:30 - 00:00;S-F;130000;HORA Y MEDIA
BOG04;12:00 - 13:30;L-V;100000;HORA Y MEDIA
BOG04;13:30 - 15:00;L-V;100000;HORA Y MEDIA
BOG04;18:00 - 19:30;L-V;100000;HORA Y MEDIA
BOG04;19:30 - 21:00;L-V;190000;HORA Y MEDIA
BOG04;21:00 - 22:30;L-V;190000;HORA Y MEDIA
BOG04;22:30 - 00:00;L-V;120000;HORA Y MEDIA
BOG04;06:00 - 07:30;S-F;100000;HORA Y MEDIA
BOG04;07:30 - 09:00;S-F;190000;HORA Y MEDIA
BOG04;09:00 - 10:30;S-F;190000;HORA Y MEDIA
BOG04;10:30 - 12:00;S-F;190000;HORA Y MEDIA
BOG05;18:00 - 19:30;L-V;170000;HORA Y MEDIA
BOG05;19:30 - 21:00;L-V;170000;HORA Y MEDIA
BOG05;21:00 - 22:30;L-V;170000;HORA Y MEDIA
BOG05;22:30 - 00:00;L-V;100000;HORA Y MEDIA
BOG05;07:00 - 08:30;S-F;120000;HORA Y MEDIA
BOG05;08:30 - 10:00;S-F;140000;HORA Y MEDIA
BOG05;10:00 - 11:30;S-F;140000;HORA Y MEDIA
BOG05;11:30 - 13:00;S-F;140000;HORA Y MEDIA
BOG06;18:00 - 19:30;L-V;220000;HORA Y MEDIA
BOG06;19:30 - 21:00;L-V;220000;HORA Y MEDIA
BOG06;21:00 - 22:30;L-V;220000;HORA Y MEDIA
BOG06;22:30 - 00:00;L-V;110000;HORA Y MEDIA
BOG06;06:00 - 07:30;S-F;110000;HORA Y MEDIA
BOG06;07:30 - 09:00;S-F;220000;HORA Y MEDIA
BOG06;09:00 - 10:30;S-F;220000;HORA Y MEDIA
BOG06;10:30 - 12:00;S-F;220000;HORA Y MEDIA
BOG07;12:00 - 13:30;L-V;90000;HORA Y MEDIA
